model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
LLM,gpt-5.2,zero_shot,0,5,0.3283283283283283,0.2634634634634634,0.0806806806806806,0.2179346012679345,0.2123157919976306
LLM,gpt-5.2,zero_shot,0,10,0.3643643643643643,0.2680680680680681,0.0467467467467467,0.2481981981981982,0.2239045333068602
LLM,gemini-3-pro,zero_shot,0,1,0.2592592592592592,0.2592592592592592,0.2592592592592592,0.1666166166166166,0.2592592592592592
LLM,gemini-3-pro,zero_shot,0,5,0.4124124124124124,0.3227727727727728,0.1049049049049049,0.2732232232232233,0.2634515589469275
LLM,gemini-3-pro,zero_shot,0,10,0.4564564564564564,0.328578975801198,0.0596596596596596,0.3084084084084084,0.276898388001891
LLM,claude-sonnet-4-6,zero_shot,0,1,0.2092092092092092,0.2092092092092092,0.2092092092092092,0.1311811811811812,0.2092092092092092
LLM,claude-sonnet-4-6,zero_shot,0,5,0.3413413413413413,0.2613613613613614,0.0838838838838838,0.2177844511177844,0.2080738046421675
LLM,claude-sonnet-4-6,zero_shot,0,10,0.3813813813813814,0.266577688799911,0.048048048048048,0.253003003003003,0.2207454088631165
LLM,CBF+infobip-gpt-4-1,cbf_reranking,250,1,0.1391391391391391,0.1391391391391391,0.1391391391391391,0.0902902902902902,0.1391391391391391
LLM,CBF+infobip-gpt-4-1,cbf_reranking,250,5,0.2362362362362362,0.1745412078745412,0.0558558558558558,0.1534367701034367,0.1418907249688361
LLM,CBF+infobip-gpt-4-1,cbf_reranking,250,10,0.2692692692692692,0.1789980456647123,0.0333333333333333,0.1786453119786453,0.1517011903753355
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,250,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0694861528194861,0.1111111111111111
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,250,5,0.1801801801801801,0.1360193526860193,0.0418418418418418,0.1170837504170837,0.1089009712636416
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,250,10,0.2202202202202202,0.1411574272685383,0.0263263263263263,0.1436269602936269,0.1190262329017347
LLM,CBF+gpt-5.2,cbf_reranking,250,1,0.1411411411411411,0.1411411411411411,0.1411411411411411,0.0947113780447113,0.1411411411411411
LLM,CBF+gpt-5.2,cbf_reranking,250,5,0.2472472472472472,0.1815815815815815,0.0574574574574574,0.1592759426092759,0.1481208577108567
LLM,CBF+gpt-5.2,cbf_reranking,250,10,0.2972972972972973,0.1881520409298187,0.0348348348348348,0.1925425425425425,0.1606009518858357
LLM,CBF+gemini-3-pro,cbf_reranking,250,1,0.1761761761761761,0.1761761761761761,0.1761761761761761,0.1077744411077744,0.1761761761761761
LLM,CBF+gemini-3-pro,cbf_reranking,250,5,0.2122122122122122,0.1893893893893893,0.0482482482482482,0.1344511177844511,0.1406316363558029
LLM,CBF+gemini-3-pro,cbf_reranking,250,10,0.2252252252252252,0.191257130146019,0.0259259259259259,0.1425759092425759,0.1438583674940136
LLM,CBF+claude-sonnet-4-6,cbf_reranking,250,1,0.1241241241241241,0.1241241241241241,0.1241241241241241,0.0806973640306973,0.1241241241241241
LLM,CBF+claude-sonnet-4-6,cbf_reranking,250,5,0.2102102102102102,0.155739072405739,0.0482482482482482,0.1359526192859526,0.1258525890884465
LLM,CBF+claude-sonnet-4-6,cbf_reranking,250,10,0.2522522522522522,0.1613355418910974,0.0296296296296296,0.1651818485151818,0.1369923558729539
LLM,CBF+infobip-gpt-4-1,cbf_reranking,500,1,0.1681681681681681,0.1681681681681681,0.1681681681681681,0.1102268935602269,0.1681681681681681
LLM,CBF+infobip-gpt-4-1,cbf_reranking,500,5,0.2752752752752753,0.2066066066066066,0.065065065065065,0.1811478144811478,0.1691862002039259
LLM,CBF+infobip-gpt-4-1,cbf_reranking,500,10,0.3103103103103103,0.211331569664903,0.0376376376376376,0.2054888221554888,0.1787160311738784
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,500,1,0.1081081081081081,0.1081081081081081,0.1081081081081081,0.0734234234234234,0.1081081081081081
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,500,5,0.2072072072072072,0.1447947947947947,0.047047047047047,0.1322322322322322,0.1191037485270118
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,500,10,0.2442442442442442,0.1495924495924495,0.0284284284284284,0.1577077077077077,0.1287865193722157
LLM,CBF+gpt-5.2,cbf_reranking,500,1,0.1501501501501501,0.1501501501501501,0.1501501501501501,0.0960293626960293,0.1501501501501501
LLM,CBF+gpt-5.2,cbf_reranking,500,5,0.2852852852852853,0.201368034701368,0.0668668668668668,0.1777944611277944,0.1619654236174036
LLM,CBF+gpt-5.2,cbf_reranking,500,10,0.3303303303303303,0.207193701638146,0.0403403403403403,0.2122455789122455,0.1751798766420758
LLM,CBF+gemini-3-pro,cbf_reranking,500,1,0.2292292292292292,0.2292292292292292,0.2292292292292292,0.1416249582916249,0.2292292292292292
LLM,CBF+gemini-3-pro,cbf_reranking,500,5,0.3183183183183183,0.2638471805138471,0.0748748748748748,0.2039539539539539,0.2031423132665724
LLM,CBF+gemini-3-pro,cbf_reranking,500,10,0.3493493493493493,0.2680553569442458,0.0423423423423423,0.2268935602268935,0.2121056272544387
LLM,CBF+claude-sonnet-4-6,cbf_reranking,500,1,0.1461461461461461,0.1461461461461461,0.1461461461461461,0.0942942942942942,0.1461461461461461
LLM,CBF+claude-sonnet-4-6,cbf_reranking,500,5,0.2452452452452452,0.184351017684351,0.0566566566566566,0.160326993660327,0.1487344702660889
LLM,CBF+claude-sonnet-4-6,cbf_reranking,500,10,0.2932932932932933,0.190670432337099,0.0344344344344344,0.1938438438438438,0.1611739313487674
LLM,CBF+infobip-gpt-4-1,cbf_reranking,1000,1,0.1761761761761761,0.1761761761761761,0.1761761761761761,0.1172672672672672,0.1761761761761761
LLM,CBF+infobip-gpt-4-1,cbf_reranking,1000,5,0.2882882882882883,0.2172172172172172,0.0668668668668668,0.1904237570904237,0.1780282768271112
LLM,CBF+infobip-gpt-4-1,cbf_reranking,1000,10,0.3423423423423423,0.2242083353194464,0.0406406406406406,0.2245245245245245,0.1913154012092062
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,1000,1,0.1301301301301301,0.1301301301301301,0.1301301301301301,0.0839005672339005,0.1301301301301301
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,1000,5,0.2172172172172172,0.1627794461127794,0.05005005005005,0.144094094094094,0.1322386965584868
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,1000,10,0.2642642642642642,0.1689554633999078,0.0309309309309309,0.1710543877210543,0.1429145013355539
LLM,CBF+gpt-5.2,cbf_reranking,1000,1,0.1801801801801801,0.1801801801801801,0.1801801801801801,0.1140473807140473,0.1801801801801801
LLM,CBF+gpt-5.2,cbf_reranking,1000,5,0.3093093093093093,0.2296129462796129,0.073073073073073,0.197681014347681,0.1844081471043367
LLM,CBF+gpt-5.2,cbf_reranking,1000,10,0.3493493493493493,0.2347732653288209,0.043043043043043,0.2302469135802469,0.1968598261732765
LLM,CBF+gemini-3-pro,cbf_reranking,1000,1,0.2512512512512512,0.2512512512512512,0.2512512512512512,0.1549549549549549,0.2512512512512512
LLM,CBF+gemini-3-pro,cbf_reranking,1000,5,0.3673673673673673,0.2977644310977644,0.0904904904904905,0.2394561227894561,0.2350354359132901
LLM,CBF+gemini-3-pro,cbf_reranking,1000,10,0.3983983983983984,0.3017108378219489,0.0496496496496496,0.263013013013013,0.2437161915227056
LLM,CBF+claude-sonnet-4-6,cbf_reranking,1000,1,0.1601601601601601,0.1601601601601601,0.1601601601601601,0.1050216883550216,0.1601601601601601
LLM,CBF+claude-sonnet-4-6,cbf_reranking,1000,5,0.2662662662662662,0.2015849182515849,0.061061061061061,0.1723723723723723,0.1627497331917281
LLM,CBF+claude-sonnet-4-6,cbf_reranking,1000,10,0.3203203203203203,0.2087091059313281,0.0378378378378378,0.2083917250583917,0.1767745675063443
Sequential,SASRec,standalone,6924,1,0.04904904904904905,0.04904904904904905,0.04904904904904905,0.028144811478144807,0.04904904904904905
Sequential,SASRec,standalone,6924,5,0.15015015015015015,0.08401735068401736,0.03343343343343344,0.09075742409075743,0.06955199667529825
Sequential,SASRec,standalone,6924,10,0.2222222222222222,0.09363132974244086,0.026126126126126126,0.13893893893893894,0.08806308039850033
Sequential,GRU4Rec,standalone,6924,1,0.04504504504504504,0.04504504504504504,0.04504504504504504,0.021054387721054387,0.04504504504504504
Sequential,GRU4Rec,standalone,6924,5,0.12912912912912913,0.07360694027360694,0.02762762762762763,0.07197197197197196,0.056031520997027046
Sequential,GRU4Rec,standalone,6924,10,0.17317317317317318,0.0792820598376154,0.01941941941941942,0.1042876209542876,0.06776292341086332
Sequential,NARM,standalone,6924,1,0.03803803803803804,0.03803803803803804,0.03803803803803804,0.021938605271938603,0.03803803803803804
Sequential,NARM,standalone,6924,5,0.11811811811811812,0.06816816816816816,0.026026026026026026,0.07077077077077076,0.05576702554948071
Sequential,NARM,standalone,6924,10,0.16816816816816818,0.07485541096652207,0.01891891891891892,0.10108441775108441,0.0673786334538235
Sequential,SRGNN,standalone,6924,1,0.042042042042042045,0.042042042042042045,0.042042042042042045,0.022272272272272273,0.042042042042042045
Sequential,SRGNN,standalone,6924,5,0.11511511511511512,0.0667334000667334,0.024824824824824825,0.0671338004671338,0.052737117132006
Sequential,SRGNN,standalone,6924,10,0.17017017017017017,0.07377854044520711,0.01881881881881882,0.10353687020353687,0.0660898969721458
