model,model_display,prompt_idx,temperature,n_trials,raw_ndcg@10_mean,raw_ndcg@10_std,strict_ndcg@10_mean,strict_ndcg@10_std,candidate_valid_rate@10_mean,raw_jaccard_distance@10,strict_jaccard_distance@10,raw_list_position_distance@10,strict_list_position_distance@10,raw_exact_list_agreement@10,strict_exact_list_agreement@10,raw_item_coverage@10,raw_unique_items@10,raw_avg_popularity@10,raw_catalog_match_rate@10,strict_item_coverage@10,strict_unique_items@10,strict_avg_popularity@10,strict_catalog_match_rate@10,raw_ndcg@10_cv,strict_ndcg@10_cv
Gemma-2-9B,Gemma-2-9B,495,1.0,20,0.07342774512308571,0.13695742155160048,0.0,0.0,0.6650000000000001,0.8301542113400516,0.8393037715638335,0.9347368421052633,0.7563157894736842,0.0,0.0,0.006643558636626227,46.0,28.88310359231412,0.7300000000000001,0.006210283073367995,43.0,29.09655388471178,0.645,1.8651998821701665,
Gemma-2-9B,Gemma-2-9B,495,2.0,20,0.06366824387328317,0.13476099597831745,0.0,0.0,0.15,0.9868674153729963,0.8416979949874687,0.9105263157894737,0.25000000000000006,0.0,0.14736842105263157,0.0034662045060658577,24.0,12.373299319727892,0.185,0.0031773541305603697,22.0,14.821428571428571,0.15,2.116612423715155,
Gemma-2-9B,Gemma-2-9B,506,0.0,20,1.0,0.0,1.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0012998266897746968,9.0,23.22222222222222,0.8999999999999998,0.0010109763142692085,7.0,28.428571428571427,0.6999999999999998,0.0,0.0
Gemma-2-9B,Gemma-2-9B,506,0.5,20,1.0,0.0,1.0,0.0,0.7750000000000001,0.572241904981843,0.5449807356386304,0.7510526315789473,0.626842105263158,0.0,0.0,0.004043905257076834,28.0,16.542182539682543,0.8099999999999999,0.0033217793183131137,23.0,17.986408730158733,0.7049999999999998,0.0,0.0
Gemma-2-9B,Gemma-2-9B,506,1.0,20,1.0,0.0,1.0,0.0,0.6900000000000001,0.7662561358444934,0.7549453917255774,0.8231578947368423,0.7015789473684211,0.0,0.0,0.006065857885615251,42.0,12.2453373015873,0.705,0.005488157134604275,38.0,13.22875,0.6049999999999999,0.0,0.0
Gemma-2-9B,Gemma-2-9B,506,2.0,20,0.4630929753571458,0.48704493639978813,0.4815464876785729,0.5005434918813297,0.12500000000000003,0.9609890893962917,0.7139954051796158,0.7278947368421052,0.19210526315789478,0.0,0.22105263157894736,0.002166377816291161,15.0,11.02930402930403,0.13,0.002021952628538417,14.0,11.761904761904761,0.12000000000000002,1.051721711010991,1.0394499901646819
Gemma-2-9B,Gemma-2-9B,515,0.0,20,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0012998266897746968,9.0,54.11111111111111,0.8999999999999998,0.0010109763142692085,7.0,42.57142857142857,0.6999999999999998,,
Gemma-2-9B,Gemma-2-9B,515,0.5,20,0.0,0.0,0.0,0.0,0.905,0.4069320153530679,0.3554882982514562,0.7394736842105263,0.7,0.0,0.0,0.0034662045060658577,24.0,42.84930555555555,0.8500000000000002,0.0030329289428076256,21.0,38.33343253968253,0.775,,
Gemma-2-9B,Gemma-2-9B,515,1.0,20,0.0,0.0,0.0,0.0,0.8300000000000001,0.6318260172331787,0.562817233935655,0.8910526315789475,0.7552631578947367,0.0,0.0,0.006065857885615251,42.0,34.861805555555556,0.7949999999999999,0.004910456383593298,34.0,30.827460317460314,0.715,,
Gemma-2-9B,Gemma-2-9B,515,2.0,20,0.0,0.0,0.0,0.0,0.22999999999999998,0.9767433786498477,0.9030093006408796,0.9131578947368423,0.3394736842105263,0.0,0.05263157894736842,0.003610629693818602,25.0,17.45277777777778,0.19000000000000003,0.0031773541305603697,22.0,13.67063492063492,0.17000000000000004,,
